目录名称,新目录,歌曲目录名称,歌曲名称,PP值-容易,PP值-通常,PP值-困难,PP值-专家,PP值-噩梦,难度-容易,难度-通常,难度-困难,难度-专家,难度-噩梦,hash
萌新曲,,1a8a (Bitch Lasagna - rogdude),Bitch Lasagna - PewdiePie[Rogdude],177.314,,,,,3.9,,,,,73AA21E280242CC6935CFE371B9DA96720032FF7
萌新曲,,1a9 (Gillette - sebbsubb),Gillette - [Dr.Disrespect],,,,72.314,,,,,1.57,,528EC747C2716A78496C870CAEED5A2C757CA217
萌新曲,,1ae (Alone - jwaters),Alone - Made By JWaters[Marshmello],,,,92.538,,,,,2.05,,FFF756F6D76BD0049082D125773B6EC97C28C89B
萌新曲,,1aed (Pray(TV Size) - fayhe),Pray(TV Size) - Chisuga Haruka[Fayhe(EX+ by Mystimol)],,,0,0,205.395,,,0,0,4.54,045662B7C37AF1D09E0F0A54C7076D4B2CB2C721
萌新曲,,1b5 (Electra Heart - greatyazer),Electra Heart - Marina and the Diamonds (Betatraxx remix)[GreatYazer],,83.923,,0,,,1.82,,0,,676BF0C78B1DE04C0760FA8FB8F112E0ACA5B4D6
萌新曲,,1b7 (WALK ON WATER - rustic),WALK ON WATER - 30 SECONDS TO MARS[Rustic],,31.288,0,,,,0.67,0,,,7641706012EE4EF9BF7D7E26A18F9D87D4807F22
萌新曲,,1bf (Lone Digger - calijor),Lone Digger - [Caravan Palace],55.781,0,0,0,,1.2,0,0,0,,906160FD1F808E2F34F33C2CA5920118855C065D
萌新曲,,1c1 (Shia LaBeouf - kleid),Shia LaBeouf - Rob Cantor[Kleid],62.583,75.436,79.356,0,,1.36,1.65,1.73,0,,1279A3FCAFF31E767E5DD7D7C016EC08733CF566
萌新曲,,1c16 (Victor's Piano Solo - ruckus),"Victor's Piano Solo - Danny Elfman, The Wild Conductor[Ruckus]",,,,70.251,,,,,1.54,,3F147F8AFA9089B76197E18CFF36E08A261BA072
萌新曲,,1d06 (Wind - ruckus),Wind - Thaehan[Ruckus],,,,98.021,,,,,2.15,,C9327A763605AF137B91F8DA5DF50B2102F82259
萌新曲,,1d07 (Epic - Brady),Epic - Tokyo Machine[Brady],,,,,140.17,,,,,3.08,9ADD07A1625027A42110EFC4E1EFD03D8C960FEF
萌新曲,,1d0a (Rendezvous - heisenbergirl),Rendezvous - Scandroid[Heisenberg],,0,0,150.519,,,0,0,3.32,,F2F47F2ABD93AF32F2D91D8210F41315D8FC39B6
萌新曲,,"1d2 (9,000 Miles - mars)","9,000 Miles - (Charted by M.Rappold)[Pendulum]",40.977,51.189,54.477,101.525,0,0.88,1.1,1.18,2.23,0,4C750C4BA3EB6E0B61F1549169D814D54BE2CA01
萌新曲,,1d3 (Click Bait - calijor),Click Bait - Feat. Gl!tch[DJ S3RL],,77.977,128.354,159.104,,,1.69,2.8,3.49,,0167975F8788AFBBC7D27B4C939395660C1DE854
萌新曲,,1d42 (Ai Kotoba III - edzo),Ai Kotoba III - DECO*27 ft. Hatsune Miku [Edzo],,,88.992,144.366,,,,1.93,3.15,,28E8A3995E597B1F8BAADF6AFAB0666E39672D2A
萌新曲,,1d50 (Chaoz Fantasy - skylerwallace),Chaoz Fantasy - ParagonX9[Skyler Wallace],,,0,127.347,,,,0,3.25,,F55BB69E6F07EF93D84CB42A2FA6BC9189DD7E01
萌新曲,,1d7 (Make Us High - ambralbeat),Make Us High - [E-Type],,,,57.661,,,,,1.3,,E10A6A96310AE35F366A24DE802B20F82B4624AB
